community_id,ngram_type,rank,term,ctfidf,class_count
6,unigram,19,artificial,0.007785184532708532,1182
6,unigram,20,asked,0.007677709486834667,869
6,bigram,1,ai art,0.007789574583522629,1336
6,bigram,2,artificial intelligence,0.007453114931805516,1107
6,bigram,3,ai generated,0.0059677004102393575,809
6,bigram,4,chat gpt,0.004206731754236357,476
6,bigram,5,chatgpt write,0.004085175445032072,373
6,bigram,6,asked chatgpt,0.0034934233372801754,320
6,bigram,7,use ai,0.003402596090368792,402
6,bigram,8,using ai,0.003319139397330137,394
6,bigram,9,ai chatbot,0.0033018782597077968,298
6,bigram,10,hey video,0.003216968059854296,178
5,unigram,1,llama,0.05743036273611841,5143
5,unigram,2,nft,0.025865667441536424,2891
5,unigram,3,art,0.018448157334934052,3749
5,unigram,4,bcube,0.017084085548921237,1054
5,unigram,5,nfts,0.017042402588308178,1681
5,unigram,6,just,0.013024571222657854,2353
5,unigram,7,new,0.012438709567215748,1933
5,unigram,8,like,0.012053903360551389,2269
5,unigram,9,project,0.011124637505451087,1256
5,unigram,10,love,0.010949199224512077,1222
5,unigram,11,mint,0.010790494044129987,791
5,unigram,12,collection,0.01071111874794713,960
5,unigram,13,chatgpt,0.010702511566328881,2859
5,unigram,14,discord,0.009892625701035237,744
5,unigram,15,fam,0.009139128796469836,626
5,unigram,16,crypto,0.0091376869494749,1077
5,unigram,17,community,0.009058330628802938,855
5,unigram,18,join,0.008730905177784213,858
5,unigram,19,cardano,0.008711662543626115,535
5,unigram,20,aiinu,0.008428546989248662,463
5,bigram,1,ai art,0.01096944672214257,1663
5,bigram,2,ai arena,0.005554946313828336,292
5,bigram,3,bcube ai,0.005550829070100746,287
5,bigram,4,ai generated,0.0052241786060170095,626
5,bigram,5,artificial intelligence,0.0043949223142172,577
5,bigram,6,llama fam,0.004346697244870698,221
5,bigram,7,join discord,0.004070672615752516,227
5,bigram,8,using ai,0.003955146361215524,415
5,bigram,9,ai nft,0.0037046116061596845,258
5,bigram,10,use ai,0.003408941399473706,356
18,unigram,1,chatgpt,0.043796133401556255,17529
18,unigram,2,students,0.031316687704084654,4245
18,unigram,3,education,0.028924812868506327,3939
18,unigram,4,edtech,0.017837316698193998,1869
18,unigram,5,teachers,0.016970154294985905,1926
18,unigram,6,use,0.01596494436143137,3777
18,unigram,7,writing,0.015919339364156238,2602
18,unigram,8,learning,0.015529944172107814,2734
18,unigram,9,teaching,0.012205773438761317,1361
18,unigram,10,student,0.011381673852315586,1274
18,unigram,11,using,0.011256105379947375,2444
18,unigram,12,new,0.010831675335932767,2522
18,unigram,13,tools,0.010440376102577283,1844
18,unigram,14,write,0.010328225362291995,1762
18,unigram,15,like,0.00958753528054364,2704
18,unigram,16,educators,0.009582683765538695,936
18,unigram,17,think,0.009578512346901928,2101
18,unigram,18,text,0.00938632848679784,1481
18,unigram,19,classroom,0.009305921721123277,887
18,unigram,20,need,0.009171203302254963,1729
18,bigram,1,ai education,0.0077583790696089654,730
18,bigram,2,artificial intelligence,0.006954542498920458,1368
18,bigram,3,chatgpt ai,0.005728828850400226,763
18,bigram,4,use chatgpt,0.005709481204706361,731
18,bigram,5,ai tools,0.0051294187432979164,730
18,bigram,6,use ai,0.005061762892535251,792
18,bigram,7,using chatgpt,0.004973027372698557,636
18,bigram,8,chat gpt,0.004544407307037951,681
18,bigram,9,generative ai,0.004501075314229561,623
18,bigram,10,ai chatgpt,0.004354872227941648,543
14,unigram,1,chatgpt,0.03376391618151316,7736
14,unigram,2,india,0.021310908452994066,1345
14,unigram,3,google,0.012666303436220184,1376
14,unigram,4,like,0.01127893144854636,1821
14,unigram,5,gpt,0.01056207981270649,1214
14,unigram,6,intelligence,0.009700628469251972,1158
14,unigram,7,use,0.009480760413158526,1284
14,unigram,8,new,0.009303148654506342,1240
14,unigram,9,just,0.009131933695453514,1415
14,unigram,10,artificial,0.009061200432236719,1043
14,unigram,11,indian,0.008211782927892987,430
14,unigram,12,data,0.008065023423724475,951
14,unigram,13,chat,0.008062328961681808,799
14,unigram,14,time,0.007881707443830361,930
14,unigram,15,using,0.007812029995102552,971
14,unigram,16,know,0.007669316991523074,877
14,unigram,17,read,0.007595128475337023,693
14,unigram,18,human,0.007561379589657866,877
14,unigram,19,make,0.007457925991809914,929
14,unigram,20,world,0.007453239280526632,783
14,bigram,1,artificial intelligence,0.00878287057722977,989
14,bigram,2,chat gpt,0.006574564116032743,564
14,bigram,3,air india,0.0055104231116218805,242
14,bigram,4,ai generated,0.003775202140816315,388
14,bigram,5,ai ml,0.0031755907307713977,262
14,bigram,6,generative ai,0.002902777797747057,230
14,bigram,7,using ai,0.0028556987262497334,257
14,bigram,8,ai chatbot,0.0028206688063940346,193
14,bigram,9,use chatgpt,0.0027697019198801524,203
14,bigram,10,using chatgpt,0.0027454751360597753,201
13,unigram,1,chatgpt,0.030163954829562818,5044
13,unigram,2,like,0.013646488299696117,1608
13,unigram,3,just,0.013308210483174912,1505
13,unigram,4,people,0.011834104443177488,1176
13,unigram,5,intelligence,0.011765002642072399,1025
13,unigram,6,google,0.011364048966871947,901
13,unigram,7,artificial,0.011344129633575287,953
13,unigram,8,na,0.010996573591521005,417
13,unigram,9,use,0.01035988551415831,1024
13,unigram,10,make,0.009844694465197893,895
13,unigram,11,know,0.009753452012914311,814
13,unigram,12,ba,0.009224572557902225,318
13,unigram,13,gpt,0.009024091478231537,757
13,unigram,14,chat,0.008751737774713796,633
13,unigram,15,dey,0.008636528503001006,303
13,unigram,16,using,0.008488134426588858,770
13,unigram,17,dawn,0.008480543250452883,318
13,unigram,18,africa,0.008436182905422342,327
13,unigram,19,think,0.008358634892897341,766
13,unigram,20,human,0.008080428662804572,684
13,bigram,1,artificial intelligence,0.011097160856789962,912
13,bigram,2,dawn ai,0.008317306257656752,291
13,bigram,3,chat gpt,0.007554850127294119,473
13,bigram,4,ai art,0.005511068589121876,523
13,bigram,5,south africa,0.004931771116740011,158
13,bigram,6,ai generated,0.004346132240656646,326
13,bigram,7,africanai aiisa,0.0040494736370206685,118
13,bigram,8,use ai,0.003319486638727065,217
13,bigram,9,using chatgpt,0.0030318891827043185,162
13,bigram,10,using ai,0.0030297667306993484,199
15,unigram,1,bert,0.05862781715996881,1676
15,unigram,2,like,0.026434287877964507,1765
15,unigram,3,art,0.022737682776810195,1639
15,unigram,4,mccracken,0.01988704409235926,378
15,unigram,5,just,0.01972505750027791,1264
15,unigram,6,people,0.015556798448785245,876
15,unigram,7,shit,0.015183935480666953,509
15,unigram,8,think,0.014038546894352579,729
15,unigram,9,make,0.012695359338331632,654
15,unigram,10,generated,0.012658128170237513,584
15,unigram,11,know,0.012074192560269708,571
15,unigram,12,chatgpt,0.011112956589040766,1053
15,unigram,13,lol,0.010517651899377705,362
15,unigram,14,real,0.010419259965351724,442
15,unigram,15,music,0.010181570383029359,330
15,unigram,16,using,0.009902100933394931,509
15,unigram,17,thing,0.009800363932766423,393
15,unigram,18,really,0.009788962050385368,421
15,unigram,19,got,0.009661719177791588,359
15,unigram,20,gerard,0.009548626390258743,167
15,bigram,1,bert mccracken,0.01962414470415711,372
15,bigram,2,ai art,0.01770349931386798,952
15,bigram,3,ai generated,0.012187177572387591,518
15,bigram,4,like ai,0.006724547734174821,215
15,bigram,5,ai shit,0.006247993076561227,145
15,bigram,6,using ai,0.00531997203063312,198
15,bigram,7,look like,0.004296667514911624,117
15,bigram,8,chat gpt,0.004256275219902202,151
15,bigram,9,artificial intelligence,0.004230301408894829,197
15,bigram,10,ai app,0.00420873291081493,98
11,unigram,1,aiart,0.07104523674323796,5116
